Size,Data Type,Avg Execution Time (ns),Avg Space Allocated (bytes)
10,Random,6700,181
10,Sorted,4410,152
10,Reversed,3980,120
10,Nearly Sorted,4140,163
100,Random,3900,4333
100,Sorted,1650,2848
100,Reversed,1560,2528
100,Nearly Sorted,2590,3928
1000,Random,56530,69603
1000,Sorted,18600,40352
1000,Reversed,18550,39456
1000,Nearly Sorted,39690,64426
10000,Random,681020,961715
10000,Sorted,197140,552064
10000,Reversed,210510,516864
10000,Nearly Sorted,383990,922635
100000,Random,9005910,12258701
100000,Sorted,2323980,6831232
100000,Reversed,2169300,6520192
100000,Nearly Sorted,4929180,11875939
1000000,Random,164523620,148948001
1000000,Sorted,26508190,80531456
1000000,Reversed,24986160,79079936
1000000,Nearly Sorted,65537600,144669805
