Size,Data Type,Avg Execution Time (ns),Avg Space Allocated (bytes)
10,Random,1880,136
10,Sorted,1190,136
10,Reversed,1030,136
10,Nearly Sorted,1050,136
100,Random,10420,2688
100,Sorted,8150,2688
100,Reversed,10090,2688
100,Nearly Sorted,9440,2688
1000,Random,138110,39904
1000,Sorted,101550,39904
1000,Reversed,73760,39904
1000,Nearly Sorted,91260,39904
10000,Random,1067290,534464
10000,Sorted,715340,534464
10000,Reversed,726580,534464
10000,Nearly Sorted,838610,534464
100000,Random,11851010,6675712
100000,Sorted,8424150,6675712
100000,Reversed,8252260,6675712
100000,Nearly Sorted,9711530,6675712
1000000,Random,111742850,79805696
1000000,Sorted,77885560,79805696
1000000,Reversed,79164240,79805696
1000000,Nearly Sorted,95033150,79805696
