Size,Data Type,Avg Execution Time (ns),Avg Space Allocated (bytes)
10,Random,3470,224
10,Sorted,2260,224
10,Reversed,2250,224
10,Nearly Sorted,2520,224
100,Random,4580,3552
100,Sorted,2260,3552
100,Reversed,1870,3552
100,Nearly Sorted,2470,3552
1000,Random,55880,47936
1000,Sorted,23470,47936
1000,Reversed,20750,47936
1000,Nearly Sorted,32330,47936
10000,Random,595170,625280
10000,Sorted,243550,625280
10000,Reversed,257430,625280
10000,Nearly Sorted,396410,625280
100000,Random,6292920,7571968
100000,Sorted,3058380,7571968
100000,Reversed,3405910,7571968
100000,Nearly Sorted,4057490,7571968
1000000,Random,64685430,87922176
1000000,Sorted,34796950,87922176
1000000,Reversed,37203750,87922176
1000000,Nearly Sorted,50840540,87922176
